N.º;Fecha;Contenido de agua (m³/m³);Radiación solar (W/m²);Temperatura (°C);Humedad (%);Viento (m/s);Viento ráf. (m/s);Dir. viento (°);Precipitación (mm)
349;2025-12-15;0.14;806.0;25.9;63.7;4.72;8.35;202.9;0
350;2025-12-16;0.173;667.0;26.6;72.6;4.16;5.22;83.7;0
351;2025-12-17;0.185;749.3;26.9;70.0;4.24;5.42;258.1;0
352;2025-12-18;0.134;725.2;25.6;73.9;5.7;9.73;309.8;0
353;2025-12-19;0.178;692.3;24.5;75.1;4.73;6.53;49.1;0
354;2025-12-20;0.198;693.0;30.1;74.2;5.47;8.84;334.4;0
355;2025-12-21;0.145;737.5;27.3;73.9;5.11;8.24;45.8;0
356;2025-12-22;0.15;835.7;23.4;62.5;4.7;7.34;331.6;0
357;2025-12-23;0.163;744.7;27.4;73.8;4.33;7.13;85.7;0
358;2025-12-24;0.119;764.2;26.9;74.0;3.43;5.04;95.5;0
359;2025-12-25;0.192;716.7;28.1;71.0;4.53;6.48;263.7;0
360;2025-12-26;0.165;766.3;26.4;67.3;5.23;8.99;234.3;0
361;2025-12-27;0.162;742.7;27.3;71.0;3.95;5.5;342.6;0
362;2025-12-28;0.146;639.3;27.4;69.6;4.78;7.44;220.9;0
363;2025-12-29;0.155;778.4;30.5;71.4;5.95;7.7;36.5;0
364;2025-12-30;0.168;618.7;27.9;69.2;4.44;5.96;17.9;0
365;2025-12-31;0.141;673.6;27.5;68.5;5.15;7.09;238.3;0
